,Primary Subject,Complaint Narrative,Scam Type,Other Subjects,Website
0,100Ex,"A California victim was convinced by “Emily from San Francisco” to trade cryptocurrency on her exchange, “100Ex.” Over a few weeks, the victim transferred a little under $2,000 worth of Bitcoin onto the exchange. The victim then received an email representing their account balance as $50,580.59. However, to withdraw the money, the victim would have to pay taxes of 15% on the earnings, which 100Ex calculated to be $7,437.31. The victim was instructed to send the tax payment to 100Ex within 5 days or 100Ex would add a late penalty of 5% of the total daily tax amount.  ",Fraudulent Trading Platform  Pig Butchering Scam,Emily (Email: 100ex.vvip@gmail.com) ,info@service-admin.xyz  
1,247 Crypto Base,The victim complained that they invested Bitcoin in this company that operates the website https://247cryptobase.com and lists a phony California address. Now the victim believes the company is a scam and wants a refund.    ,Pig Butchering Scam  Liquidity Mining Scam  Imposter Scam,    ,https://247cryptobase.com    
2,247 Trade Growth 247tradegrowth.net Cherry Thaddeus,"Victim, a single parent with health issues, received a direct message via Instagram from a friend who told her that he had invested $1,000 and got a return of $10,000, and that she could earn money, too, by contacting cherry_thaddeusfx on Instagram. Victim reached out to “Cherry” and told her she was interested in investing. Cherry was very smart and said she mined for bitcoin. She also claimed to be an account manager and told the victim she would give her a high return on her investment. Victim sent $2,000 to purchase Bitcoin and transferred it to Cherry who told her she had set up an account with her trading company, 247tradegrowth.net. At some point, the victim’s account balance showed she had made a profit of $21,800. But when she attempted to cash out, the victim was told that she had to pay a withdrawal fee of $3,650. She then contacted Cherry, who convinced her to invest another $1,000 worth of bitcoin because he had done so well. After a week, her account showed a profit of $45,800. This time, when Cherry told her she needed to pay a withdrawal fee, the victim sent $3,700. She had to borrow the money and followed a list of instructions Cherry sent but was told her withdrawal was pending. She contacted Cherry again, who told the victim to give the “Support Team” access to her Instagram account including back up codes. The victim soon received a message from the Support Team saying she needed to pay more fees, up to $12,400 in order to upgrade her account to comply with SEC regulations as her account balance was so high. She called Cherry and pleaded with her that she needed her money back, but Cherry didn’t reply. At this point, the victim realized this was a scam and reset her Instagram account again. She found out from Instagram that the Support Team twice tried to access her account for more money. Later, she learned that her Driver’s License and Social Security Number had been placed on the dark web. She also learned that the friend who had contacted her about Cherry also had had their account hacked, and so it wasn’t even really her friend who first contacted her.",Liquidity Mining Scam,Cherry Thaddeus,https://247tradegrowth.net/faq.php
3,88 Trading LLC (Impersonating DBS Banking app),"A California victim met someone on an online dating app. At some point, the scammer instructed the victim to send crypto assets to what the victim believed was a legitimate banking app based in Singapore. But the scammer provided fake instructions so that the victim’s money went into the crypto asset wallet belonging to the scammer instead. The victim deposited Ethereum (ETH) into the scammer’s account on three separate occasions, eventually losing thousands of dollars. The victim hired a law firm specializing in crypto assets and was able to locate the scammer’s wallet through blockchain forensic analysis but has not been able to retrieve her funds.",Pig Butchering Scam,Jose,
4,"A16Zcrypto a16z crypto a16zcrypto.cc a16zcrypto.buzz (Entity Impersonating Andreessen Horowitz, a16z.com)","Two Californians fell victim to the scam website A A16Zcrypto.cc/H5/#, which they believed was a legitimate website run by a well-known venture capital firm. The first victim met a woman named “Lena” via LinkedIn. Lena directed the victim to the website A16Zcrypto.cc/H5/# where the victim believed he would be able to invest his money into the crypto asset industry. Instead, the money went into the scammer’s wallet account and the victim lost approximately $210,000. The second victim also met someone on LinkedIn, who called herself Cindy Yang aka Daiwei Yang. After a while, Cindy asked to move the conversation to WhatsApp. There, Cindy told the victim that she worked for a cryptocurrency trading company and a venture capital fund that invests in crypto and web3 startups. She told the victim that she and her two partners opened an account on the trading platform, and encouraged the victim to also open an account where Cindy would help him trade. The victim initially invested $2,100 to the scammer’s website with the guidance of the scammer, and he was able to withdraw $500. Convincing him he had made a profit, Cindy asked the victim to put in even more money, and he, after several transactions, had contributed another $68,000. After that, he seldom heard from Cindy again. So, the victim decided to take his money out, which he believed was now worth more than $100,000, with half in his Currency Account and half in his Contract Account, or trading account. However, the website did not return his money, but instead used many excuses to hold his money, such as there was an international Anti-Money laundering Organization investigation or that he needed to pay a penalty first. He sent many messages to the website’s Customer Service but was not able to receive his money. This is not to be confused with the website a16z.com.",Pig Butchering Scam,Lena Yang,http://a16zcrypto.buzz/
5,ANTRUSH ANTEN PTY LTD,"The victim was contacted via Instagram by “Anna” who complimented her about a music video she posted. They struck up a conversation which continued for a few weeks with daily contacts about shared interests - including cryptocurrencies. At one point, “Anna” sent a screenshot of her Forex trading account, which contained a huge amount of money, and offered to help the victim trade, promising she could make enough profit to fund her next album. The victim set up an account with Anna’s guidance, at a broker she recommended. Anna then walked her through a demo trade. The victim made several deposits, totaling approximately $60,000 in both Bitcoin and Ethereum. Anna then convinced her she had made a very successful trade. They stayed in touch, talking about other things, and then one day Anna mentioned they could make even more money by using “referral codes.” She then directed the victim to set up another account in her husband's name to trade at the same time. The victim funded this new account with another $16,000 or so. After that, Anna would let the victim know every other week or so that it was time to trade again, and then tell her she had made another large profit. But the victim noticed she was hearing from Anna less and less. The victim decided to take out some of the profits, but website said it would take 24 hours to process. After waiting the 24 hours, the victim was told she needed “Advancedd Verification” and asked to provide a government ID. The victim waited another 48 hours, then was told it could take two weeks. She waited the two weeks, but her request was rejected. After resubmitting photos of her ID, and waiting another two weeks, the company’s help chat box stopped responding. The victim contacted Anna, but never heard from her again. She then realized her money had been stolen. The company operated the website at https:// Antrush.com.",Pig Butchering Scam,Anna,Antrush.com
6,AnaBrokersTrade Becky Bitcoin Analyst Trader,"A California Victim reported her friend’s Instagram account got hacked by a bitcoin scammer with the username “Becky Bitcoin”- who convinced her to send $1,000 to make money. The scammer then asked the victim to send more money. The victim refused and asked for her $1,000 back. Becky Bitcoin then asked the victim to change her e-mail address on IG to a new address. The victim became suspicious and realized Becky Bitcoin was probably trying to hack her Instagram account for more victims. The victim also claimed she was scammed into making a Venmo transaction to “Sherry Bellamy”.",Imposter Scam,"""AnaBrokersTrade""",
7,Apex Elite Trades,"Victim met “Margaret Charles” on Facebook who said she could help invest in Bitcoin. “Margaret” directed victim to a trading platform and said she would then see her investment grow, promising profits in seven days. After seven days, Margaret told the victim they had made enough money, and that she should upgrade her account to get a profit in 24 hours. Once the 24 hours passed, Margaret asked the victim to invest even more money to get more profit in the next 24 hours. Then Margaret told the victim she needed to pay a service fee and wait another 24 hours for the profits to be paid out. Next, Margaret told victim she had to pay a tax to a different Bitcoin address. The victim asked for her initial $12,000 investment back plus the $2000 in fees, but Margaret stopped communicating with her. The company operated a website at https://apexelitetrades.net.  ",Pig Butchering Scam  Fraudulent Trading Platform,Charles Margaret Margaret Charles ,https://apexelitetrades.net  
8,Aspro ex asproex.com,"A California victim met “Annette” online who convinced him to invest in crypto assets, promising high returns. He started sending smaller denominations to the trading platform Annette directed him to and was convinced he had made money. He then put in more money, first $10,000, then $20,000 and each time the platform showed he was making a very high rate of return. Then Annette suggested they could make a lot of money on “transaction nodes.” She then told him they would be guaranteed profits if he “locked in” his money for 21 days. He waited but did not receive any money. Now he can no longer access the website for Asproex.",Pig Butchering Scam,Lin Sisi,http://asproex.com/
9,BC Group bcgros.vip bcgmnt.vip bcgmts.vip,"Two Californians fell victim to a phone crypto asset exchange, calling itself “BC Group” with an address at bcgmts.vip. The first victim met “Zhou Lin” on Instagram and began trading on bcgmts.vip. At some point, the victim had opened two wallets, one for trade gains which he believed was worth $1.4 million, and one for taxes, which he believes held $350,000. But when he tried to withdraw funds, he was told he needed to pay a “membership fee” first. Then, Zhou Lin offered to help him withdraw the funds, and he ended up giving her another $3,300. After that, he was contacted by numerous individuals offering to help him reclaim the funds and lost another $30,000. All told, the first victim has lost $600,000 to this scam. The second victim met “Anna” via Instagram, who then asked to move the conversation to WhatsApp. After a few weeks Anna started mentioning investing in crypto assets through the platform bcgmts.vip. With some convincing from Anna, the victim decided to invest, little by little. After he had finished a few trades, Anna mentioned she could help him earn even bigger profits. At some point, the victim believed his account was worth $200,000. But in order to withdraw the funds, Anna mentioned he would have to pay taxes, and the platform’s customer service would provide a tax certificate. He thought the tax amount was $40,000, but then things got confusing. First, he was told he needed to pay a $20,000 “member fee” which he did, but then he was told his crypto wallet address had changed and he had to pay another $30,000 to regain access. Then, he paid another $5,000 to reboot the credit score, and a $10,000 fee to authenticate his identity, and another $30,000 because his account was now at high risk and needed to be restored. He began to do research on Romance Scams, and realized he was the victim of a pig-butchering scam. The victim’s total loss is about $150,000.",Pig Butchering Scam,Zhou Lin,http://bcgmts.vip/
10,BYBIT,,Fraudulent Trading Platform,,bybitdex.com
11,BakerySwap,"A California victim reports a fraudulent website promoting a crypto scam promising 718% returns on crypto staking. The promoter of the scam, “Noah Crypto” also posted YouTube videos at https://www.youtube.com/watchtv?v=bOAFPE6k25Q.The victim tried to invest, but when he connected his wallet, his 350 SNX tokens disappeared.    ",Liquidity Mining Scam  Fraudulent Trading Platform  High Yield Investment Program,Noah Crypto (Youtuber)    ,https://bac-snx.com/bakery/BAKEV2/SNX    
12,BitFunds,"A Californian victim downloaded the BitFunds app on his phone via the Google Play Store. BitFunds purportedly allowed users to invest in what it advertised as “cloud mining”. Investors were promised a share of miners' profits or mined bitcoin. BitFunds also claimed that the more money you invested, the faster you would accumulate a portion of the mined bitcoin. The victim, having paid $200, never received the promised services and did not get any of his money back. Subsequently, the app's name was changed, and it failed to respond to the victim's inquiries. “Bitfunds” appears to have been running a scam through its app.  ",Liquidity Mining Scam  Asset Recovery Scam,  ,  
